CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
86	306	-63.815	0.000	0.7548	0.3221	1
112	571	-105.789	0.000	0.7479	0.4916	1
131	339	-57.022	0.000	0.8499	0.4677	1
195	297	-24.698	0.000	0.7201	0.3549	1
295	322	-5.416	0.000	0.7007	0.3830	1
295	398	-20.139	0.000	0.7046	0.3265	1
297	667	-74.075	0.000	0.7701	0.4974	1
315	471	-30.545	0.000	0.8317	0.5440	1
331	571	-44.067	0.000	0.8178	0.5953	1
393	423	-5.013	0.000	0.7115	0.4239	1
398	423	-3.349	0.000	0.7270	0.3527	1
398	495	-17.346	0.000	0.7466	0.3880	1
398	563	-31.344	0.000	0.8340	0.4009	1
398	686	-57.740	0.000	0.7825	0.4836	1
423	495	-13.997	0.000	0.8281	0.4501	1
423	563	-27.995	0.000	0.7656	0.3726	1
471	815	-74.809	0.000	0.7052	0.5739	1
495	563	-13.998	0.000	0.7829	0.4191	1
503	935	-108.906	0.000	0.8386	0.5028	1
576	577	-0.004	0.000	0.9587	0.6045	1
581	935	-93.943	0.000	0.7482	0.3209	1
599	609	-2.016	0.000	0.8185	0.5736	1
640	714	-16.133	0.000	0.7110	0.4798	1
645	851	-50.022	0.000	0.9516	0.6607	1
716	726	-1.285	0.000	0.7750	0.6360	1
846	934	-30.012	0.000	0.7639	0.6203	1
927	971	-25.753	0.000	0.7014	0.4214	1
945	1134	-0.436	0.000	0.8077	0.5240	1
1095	1110	-30.009	0.000	0.8729	0.5101	1
